City,Station,Line,Latitude,Longitude
Delhi,Samaypur Badli,Yellow Line,28.7433,77.1591
Delhi,Adarsh Nagar,Yellow Line,28.7144,77.1673
Delhi,Azadpur,Yellow Line,28.7070,77.1758
Delhi,Model Town,Yellow Line,28.7115,77.1913
Delhi,GTB Nagar,Yellow Line,28.6992,77.2094
Delhi,Vishwavidyalaya,Yellow Line,28.6953,77.2119
Delhi,Vidhan Sabha,Yellow Line,28.6851,77.2138
Delhi,Civil Lines,Yellow Line,28.6775,77.2214
Delhi,Kashmere Gate,Yellow Line,28.6675,77.2282
Delhi,Chandni Chowk,Yellow Line,28.6564,77.2301
Delhi,Chawri Bazar,Yellow Line,28.6503,77.2280
Delhi,New Delhi,Yellow Line,28.6433,77.2194
Delhi,Rajiv Chowk,Yellow Line,28.6328,77.2197
Delhi,Patel Chowk,Yellow Line,28.6234,77.2141
Delhi,Central Secretariat,Yellow Line,28.6159,77.2123
Delhi,AIIMS,Yellow Line,28.5669,77.2078
Delhi,Green Park,Yellow Line,28.5589,77.2064
Delhi,Hauz Khas,Yellow Line,28.5433,77.2066
Delhi,Saket,Yellow Line,28.5244,77.2067
Delhi,Qutab Minar,Yellow Line,28.5136,77.1856
Delhi,Huda City Centre,Yellow Line,28.4594,77.0730
Delhi,Dwarka Sector 21,Blue Line,28.5518,77.0586
Delhi,Dwarka,Blue Line,28.5921,77.0460
Delhi,Rajouri Garden,Blue Line,28.6467,77.1211
Delhi,Karol Bagh,Blue Line,28.6517,77.1906
Delhi,Barakhamba Road,Blue Line,28.6297,77.2249
Delhi,Mandi House,Blue Line,28.6256,77.2350
Delhi,Yamuna Bank,Blue Line,28.6236,77.2822
Delhi,Akshardham,Blue Line,28.6178,77.2795
Delhi,Mayur Vihar,Blue Line,28.6047,77.2941
Delhi,Anand Vihar ISBT,Blue Line,28.6467,77.3180
Delhi,Vaishali,Blue Line,28.6469,77.3400
Delhi,Noida Sector 62,Blue Line,28.6142,77.3661
Delhi,Noida Electronic City,Blue Line,28.6289,77.3728
Delhi,Shastri Nagar,Red Line,28.6714,77.1817
Delhi,Netaji Subhash Place,Red Line,28.6969,77.1517
Delhi,Rohini East,Red Line,28.7175,77.1122
Delhi,Rithala,Red Line,28.7211,77.1072
Delhi,ITO,Violet Line,28.6289,77.2436
