city,trip_id,train_id,line,station_name,station_sequence,scheduled_arrival,actual_arrival,scheduled_departure,actual_departure,delay_arrival_min,delay_departure_min,passenger_density,weather,delay_reason
Delhi,TP-000001,TRN-DEL-YEL-01,Yellow Line,AIIMS,1,2023-03-02 07:30:00,2023-03-02 07:32:00,2023-03-02 07:31:00,2023-03-02 07:33:00,2.01,2.01,Low,Stormy,Weather
Delhi,TP-000001,TRN-DEL-YEL-01,Yellow Line,Central Secretariat,2,2023-03-02 07:34:00,2023-03-02 07:35:45,2023-03-02 07:35:00,2023-03-02 07:36:45,1.76,1.76,Low,Stormy,None
Delhi,TP-000001,TRN-DEL-YEL-01,Yellow Line,Adarsh Nagar,3,2023-03-02 07:38:00,2023-03-02 07:42:06,2023-03-02 07:39:00,2023-03-02 07:43:06,4.11,4.11,Low,Stormy,Weather
Delhi,TP-000002,TRN-DEL-YEL-02,Yellow Line,Adarsh Nagar,1,2023-03-02 11:00:00,2023-03-02 11:00:00,2023-03-02 11:01:00,2023-03-02 11:01:00,0.0,0.0,Medium,Stormy,None
Delhi,TP-000002,TRN-DEL-YEL-02,Yellow Line,Central Secretariat,2,2023-03-02 11:04:00,2023-03-02 11:23:01,2023-03-02 11:05:00,2023-03-02 11:43:22,19.03,38.38,Medium,Stormy,Door Malfunction
Delhi,TP-000002,TRN-DEL-YEL-02,Yellow Line,AIIMS,3,2023-03-02 11:08:00,2023-03-02 11:26:38,2023-03-02 11:09:00,2023-03-02 11:27:38,18.65,18.65,Medium,Stormy,None
Delhi,TP-000003,TRN-DEL-YEL-03,Yellow Line,AIIMS,1,2023-03-02 14:30:00,2023-03-02 14:31:29,2023-03-02 14:31:00,2023-03-02 14:32:29,1.48,1.48,Medium,Stormy,Weather
Delhi,TP-000003,TRN-DEL-YEL-03,Yellow Line,Central Secretariat,2,2023-03-02 14:34:00,2023-03-02 14:34:59,2023-03-02 14:35:00,2023-03-02 14:35:59,0.99,0.99,Medium,Stormy,None
Delhi,TP-000003,TRN-DEL-YEL-03,Yellow Line,Adarsh Nagar,3,2023-03-02 14:38:00,2023-03-02 14:38:38,2023-03-02 14:39:00,2023-03-02 14:39:38,0.64,0.64,Medium,Stormy,None
Delhi,TP-000004,TRN-DEL-YEL-04,Yellow Line,Adarsh Nagar,1,2023-03-02 18:00:00,2023-03-02 18:00:00,2023-03-02 18:01:00,2023-03-02 18:01:00,0.0,0.0,High,Stormy,None
Delhi,TP-000004,TRN-DEL-YEL-04,Yellow Line,Central Secretariat,2,2023-03-02 18:04:00,2023-03-02 18:06:06,2023-03-02 18:05:00,2023-03-02 18:08:31,2.12,3.53,High,Stormy,Weather
Delhi,TP-000004,TRN-DEL-YEL-04,Yellow Line,AIIMS,3,2023-03-02 18:08:00,2023-03-02 18:12:49,2023-03-02 18:09:00,2023-03-02 18:15:27,4.82,6.45,High,Stormy,Weather
Delhi,TP-000005,TRN-DEL-BLU-01,Blue Line,Dwarka Sector 21,1,2023-03-02 07:30:00,2023-03-02 07:32:30,2023-03-02 07:31:00,2023-03-02 07:33:30,2.51,2.51,Low,Stormy,Weather
Delhi,TP-000005,TRN-DEL-BLU-01,Blue Line,Akshardham,2,2023-03-02 07:34:00,2023-03-02 07:36:08,2023-03-02 07:35:00,2023-03-02 07:37:08,2.14,2.14,Low,Stormy,None
Delhi,TP-000006,TRN-DEL-BLU-02,Blue Line,Akshardham,1,2023-03-02 11:00:00,2023-03-02 11:02:32,2023-03-02 11:01:00,2023-03-02 11:03:32,2.54,2.54,Medium,Stormy,Weather
Delhi,TP-000006,TRN-DEL-BLU-02,Blue Line,Dwarka Sector 21,2,2023-03-02 11:04:00,2023-03-02 11:06:17,2023-03-02 11:05:00,2023-03-02 11:07:17,2.3,2.3,Medium,Stormy,None
Delhi,TP-000007,TRN-DEL-BLU-03,Blue Line,Dwarka Sector 21,1,2023-03-02 14:30:00,2023-03-02 14:30:00,2023-03-02 14:31:00,2023-03-02 14:31:00,0.0,0.0,Medium,Stormy,None
Delhi,TP-000007,TRN-DEL-BLU-03,Blue Line,Akshardham,2,2023-03-02 14:34:00,2023-03-02 14:34:15,2023-03-02 14:35:00,2023-03-02 14:35:15,0.26,0.26,Medium,Stormy,Weather
Delhi,TP-000008,TRN-DEL-BLU-04,Blue Line,Akshardham,1,2023-03-02 18:00:00,2023-03-02 18:02:28,2023-03-02 18:01:00,2023-03-02 18:03:28,2.48,2.48,High,Stormy,Weather
Delhi,TP-000008,TRN-DEL-BLU-04,Blue Line,Dwarka Sector 21,2,2023-03-02 18:04:00,2023-03-02 18:06:46,2023-03-02 18:05:00,2023-03-02 18:08:28,2.78,3.48,High,Stormy,Overcrowding
Delhi,TP-000009,TRN-DEL-YEL-01,Yellow Line,AIIMS,1,2023-03-03 07:30:00,2023-03-03 07:30:00,2023-03-03 07:31:00,2023-03-03 07:31:00,0.0,0.0,Low,Overcast,None
Delhi,TP-000009,TRN-DEL-YEL-01,Yellow Line,Central Secretariat,2,2023-03-03 07:34:00,2023-03-03 07:34:00,2023-03-03 07:35:00,2023-03-03 07:35:00,0.0,0.0,Low,Overcast,None
Delhi,TP-000009,TRN-DEL-YEL-01,Yellow Line,Adarsh Nagar,3,2023-03-03 07:38:00,2023-03-03 07:38:00,2023-03-03 07:39:00,2023-03-03 07:39:00,0.0,0.0,Low,Overcast,None
Delhi,TP-000010,TRN-DEL-YEL-02,Yellow Line,Adarsh Nagar,1,2023-03-03 11:00:00,2023-03-03 11:00:00,2023-03-03 11:01:00,2023-03-03 11:01:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000010,TRN-DEL-YEL-02,Yellow Line,Central Secretariat,2,2023-03-03 11:04:00,2023-03-03 11:04:00,2023-03-03 11:05:00,2023-03-03 11:05:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000010,TRN-DEL-YEL-02,Yellow Line,AIIMS,3,2023-03-03 11:08:00,2023-03-03 11:08:00,2023-03-03 11:09:00,2023-03-03 11:09:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000011,TRN-DEL-YEL-03,Yellow Line,AIIMS,1,2023-03-03 14:30:00,2023-03-03 14:30:00,2023-03-03 14:31:00,2023-03-03 14:31:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000011,TRN-DEL-YEL-03,Yellow Line,Central Secretariat,2,2023-03-03 14:34:00,2023-03-03 14:34:00,2023-03-03 14:35:00,2023-03-03 14:35:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000011,TRN-DEL-YEL-03,Yellow Line,Adarsh Nagar,3,2023-03-03 14:38:00,2023-03-03 14:38:00,2023-03-03 14:39:00,2023-03-03 14:39:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000012,TRN-DEL-YEL-04,Yellow Line,Adarsh Nagar,1,2023-03-03 18:00:00,2023-03-03 18:00:00,2023-03-03 18:01:00,2023-03-03 18:01:00,0.0,0.0,High,Overcast,None
Delhi,TP-000012,TRN-DEL-YEL-04,Yellow Line,Central Secretariat,2,2023-03-03 18:04:00,2023-03-03 18:04:00,2023-03-03 18:05:00,2023-03-03 18:05:00,0.0,0.0,High,Overcast,None
Delhi,TP-000012,TRN-DEL-YEL-04,Yellow Line,AIIMS,3,2023-03-03 18:08:00,2023-03-03 18:08:00,2023-03-03 18:09:00,2023-03-03 18:09:00,0.0,0.0,High,Overcast,None
Delhi,TP-000013,TRN-DEL-BLU-01,Blue Line,Dwarka Sector 21,1,2023-03-03 07:30:00,2023-03-03 07:30:00,2023-03-03 07:31:00,2023-03-03 07:31:00,0.0,0.0,Low,Overcast,None
Delhi,TP-000013,TRN-DEL-BLU-01,Blue Line,Akshardham,2,2023-03-03 07:34:00,2023-03-03 07:34:00,2023-03-03 07:35:00,2023-03-03 07:35:00,0.0,0.0,Low,Overcast,None
Delhi,TP-000014,TRN-DEL-BLU-02,Blue Line,Akshardham,1,2023-03-03 11:00:00,2023-03-03 11:00:00,2023-03-03 11:01:00,2023-03-03 11:01:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000014,TRN-DEL-BLU-02,Blue Line,Dwarka Sector 21,2,2023-03-03 11:04:00,2023-03-03 11:04:00,2023-03-03 11:05:00,2023-03-03 11:05:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000015,TRN-DEL-BLU-03,Blue Line,Dwarka Sector 21,1,2023-03-03 14:30:00,2023-03-03 14:30:00,2023-03-03 14:31:00,2023-03-03 14:31:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000015,TRN-DEL-BLU-03,Blue Line,Akshardham,2,2023-03-03 14:34:00,2023-03-03 14:34:00,2023-03-03 14:35:00,2023-03-03 14:35:00,0.0,0.0,Medium,Overcast,None
Delhi,TP-000016,TRN-DEL-BLU-04,Blue Line,Akshardham,1,2023-03-03 18:00:00,2023-03-03 18:00:00,2023-03-03 18:01:00,2023-03-03 18:01:00,0.0,0.0,High,Overcast,None
Delhi,TP-000016,TRN-DEL-BLU-04,Blue Line,Dwarka Sector 21,2,2023-03-03 18:04:00,2023-03-03 18:04:00,2023-03-03 18:05:00,2023-03-03 18:05:00,0.0,0.0,High,Overcast,None
Delhi,TP-000017,TRN-DEL-YEL-01,Yellow Line,AIIMS,1,2023-03-04 07:30:00,2023-03-04 07:30:00,2023-03-04 07:31:00,2023-03-04 07:31:00,0.0,0.0,Low,Sunny,None
Delhi,TP-000017,TRN-DEL-YEL-01,Yellow Line,Central Secretariat,2,2023-03-04 07:34:00,2023-03-04 07:34:00,2023-03-04 07:35:00,2023-03-04 07:35:00,0.0,0.0,Low,Sunny,None
Delhi,TP-000017,TRN-DEL-YEL-01,Yellow Line,Adarsh Nagar,3,2023-03-04 07:38:00,2023-03-04 07:38:00,2023-03-04 07:39:00,2023-03-04 07:39:00,0.0,0.0,Low,Sunny,None
Delhi,TP-000018,TRN-DEL-YEL-02,Yellow Line,Adarsh Nagar,1,2023-03-04 11:00:00,2023-03-04 11:00:00,2023-03-04 11:01:00,2023-03-04 11:01:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000018,TRN-DEL-YEL-02,Yellow Line,Central Secretariat,2,2023-03-04 11:04:00,2023-03-04 11:04:00,2023-03-04 11:05:00,2023-03-04 11:05:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000018,TRN-DEL-YEL-02,Yellow Line,AIIMS,3,2023-03-04 11:08:00,2023-03-04 11:08:00,2023-03-04 11:09:00,2023-03-04 11:09:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000019,TRN-DEL-YEL-03,Yellow Line,AIIMS,1,2023-03-04 14:30:00,2023-03-04 14:30:00,2023-03-04 14:31:00,2023-03-04 14:31:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000019,TRN-DEL-YEL-03,Yellow Line,Central Secretariat,2,2023-03-04 14:34:00,2023-03-04 14:34:00,2023-03-04 14:35:00,2023-03-04 14:35:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000019,TRN-DEL-YEL-03,Yellow Line,Adarsh Nagar,3,2023-03-04 14:38:00,2023-03-04 14:38:00,2023-03-04 14:39:00,2023-03-04 14:39:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000020,TRN-DEL-YEL-04,Yellow Line,Adarsh Nagar,1,2023-03-04 18:00:00,2023-03-04 18:00:00,2023-03-04 18:01:00,2023-03-04 18:01:00,0.0,0.0,High,Sunny,None
Delhi,TP-000020,TRN-DEL-YEL-04,Yellow Line,Central Secretariat,2,2023-03-04 18:04:00,2023-03-04 18:04:00,2023-03-04 18:05:00,2023-03-04 18:05:00,0.0,0.0,High,Sunny,None
Delhi,TP-000020,TRN-DEL-YEL-04,Yellow Line,AIIMS,3,2023-03-04 18:08:00,2023-03-04 18:08:00,2023-03-04 18:09:00,2023-03-04 18:09:00,0.0,0.0,High,Sunny,None
Delhi,TP-000021,TRN-DEL-BLU-01,Blue Line,Dwarka Sector 21,1,2023-03-04 07:30:00,2023-03-04 07:30:00,2023-03-04 07:31:00,2023-03-04 07:31:00,0.0,0.0,Low,Sunny,None
Delhi,TP-000021,TRN-DEL-BLU-01,Blue Line,Akshardham,2,2023-03-04 07:34:00,2023-03-04 07:34:00,2023-03-04 07:35:00,2023-03-04 07:35:00,0.0,0.0,Low,Sunny,None
Delhi,TP-000022,TRN-DEL-BLU-02,Blue Line,Akshardham,1,2023-03-04 11:00:00,2023-03-04 11:00:00,2023-03-04 11:01:00,2023-03-04 11:01:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000022,TRN-DEL-BLU-02,Blue Line,Dwarka Sector 21,2,2023-03-04 11:04:00,2023-03-04 11:04:00,2023-03-04 11:05:00,2023-03-04 11:05:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000023,TRN-DEL-BLU-03,Blue Line,Dwarka Sector 21,1,2023-03-04 14:30:00,2023-03-04 14:30:00,2023-03-04 14:31:00,2023-03-04 14:31:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000023,TRN-DEL-BLU-03,Blue Line,Akshardham,2,2023-03-04 14:34:00,2023-03-04 14:34:00,2023-03-04 14:35:00,2023-03-04 14:35:00,0.0,0.0,Medium,Sunny,None
Delhi,TP-000024,TRN-DEL-BLU-04,Blue Line,Akshardham,1,2023-03-04 18:00:00,2023-03-04 18:00:00,2023-03-04 18:01:00,2023-03-04 18:01:00,0.0,0.0,High,Sunny,None
Delhi,TP-000024,TRN-DEL-BLU-04,Blue Line,Dwarka Sector 21,2,2023-03-04 18:04:00,2023-03-04 18:04:00,2023-03-04 18:05:00,2023-03-04 18:05:00,0.0,0.0,High,Sunny,None
Delhi,TP-000025,TRN-DEL-YEL-01,Yellow Line,AIIMS,1,2023-03-05 07:30:00,2023-03-05 07:30:00,2023-03-05 07:31:00,2023-03-05 07:31:00,0.0,0.0,Low,Sunny,None
Delhi,TP-000025,TRN-DEL-YEL-01,Yellow Line,Central Secretariat,2,2023-03-05 07:34:00,2023-03-05 07:34:00,2023-03-05 07:35:00,2023-03-05 07:35:00,0.0,0.0,Low,Sunny,None
